Date,Day,Facility,Flu,Heatwave,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
12/26/2017,Tue,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,10,20,13,16,15,13,15,10,13,12,5,9,13,5,11,7,5,1,0,3,6,6,7,5,0,0,0,0,0,0,0
12/27/2017,Wed,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,18,16,4,9,6,12,5,9,10,9,11,6,8,7,8,7,14,6,14,5,6,8,12,2,2,0,0,0,0,0,0
12/28/2017,Thu,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,14,13,11,11,9,10,11,11,3,15,7,9,13,7,10,10,3,11,14,12,8,10,8,3,0,0,0,0,0,0,0
12/29/2017,Fri,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,19,10,13,11,6,7,7,10,10,4,14,5,6,9,5,6,3,4,5,8,11,4,3,4,0,0,0,0,0,0,0
12/30/2017,Sat,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,11,19,17,6,7,9,4,7,4,7,5,4,4,4,3,5,1,0,0,0,0,0,0,0
01/01/2018,Mon,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,4,7,11,7,6,8,10,15,8,7,11,6,6,5,7,5,2,6,2,0,4,3,2,0,0,0,0,0,0,0
01/02/2018,Tue,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,7,15,10,9,10,16,4,9,12,9,11,7,15,8,6,10,8,6,7,7,10,1,1,0,0,0,0,0,0,0
01/03/2018,Wed,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,10,11,11,9,12,14,16,12,10,10,12,13,6,10,9,4,4,6,9,10,6,6,1,10,0,0,0,0,0,0,0
01/04/2018,Thu,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14,6,8,5,9,6,10,13,12,4,10,4,8,11,8,11,10,7,12,9,7,5,9,2,0,0,0,0,0,0,0
01/05/2018,Fri,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,9,8,8,11,5,17,12,15,7,19,8,6,7,5,9,5,13,5,9,9,3,6,6,0,0,0,0,0,0,0
01/06/2018,Sat,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,16,10,2,4,7,4,4,6,4,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0
01/07/2018,Sun,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,10,7,6,10,5,3,4,3,4,3,2,5,1,2,3,4,0,0,0,0,0,0,0,0
01/08/2018,Mon,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,8,4,13,9,11,5,7,5,6,7,3,10,5,6,7,5,5,6,5,5,10,2,0,0,0,0,0,0,0,0
01/09/2018,Tue,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,9,5,2,5,6,5,2,8,7,4,4,3,1,5,6,2,7,6,3,6,3,4,2,3,0,0,0,0,0,0
01/10/2018,Wed,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,15,9,9,4,4,4,4,4,3,5,8,2,5,5,6,8,8,8,3,4,3,6,1,0,0,0,0,0,0
01/11/2018,Thu,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,7,2,6,14,5,4,8,7,5,8,4,3,6,3,6,9,8,6,6,11,7,7,1,2,0,0,0,0,0,0
01/12/2018,Fri,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,12,8,6,7,8,12,5,4,4,9,5,2,9,9,3,4,5,7,11,10,4,3,8,2,1,0,0,0,0,0,0
01/13/2018,Sat,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,4,9,8,6,7,5,5,5,3,5,3,5,2,3,1,3,0,0,0,0,0,0,0
01/14/2018,Sun,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,5,2,2,7,1,2,2,5,3,5,4,6,2,8,0,0,0,0,0,0,0,0,0
